ticker,cik
A,1090872
AAL,6201
AAP,1158449
AAPL,320193
ABBV,1551152
ABNB,1559720
ABT,1800
ABX,1814287
ACGL,947484
ACN,1467373
ACV,1636289
ADBE,796343
ADCT,1771910
ADI,6281
ADM,7084
ADP,8670
ADSK,769397
ADT,1703056
AEE,1002910
AEP,4904
AES,874761
AFL,4977
AIG,5272
AIT,109563
AIV,922864
AIZ,1267238
AJG,354190
AKAM,1086222
ALB,915913
ALGN,1097149
ALK,766421
ALL,899051
ALLE,1579241
AM,1623925
AMAT,6951
AMCR,1748790
AMD,2488
AME,1037868
AMG,1004434
AMGN,318154
AMH,1562401
AMP,820027
AMT,1053507
AMTM,2011286
AMZN,1018724
AN,350698
ANET,1596532
ANF,1018840
AON,315293
AOS,91142
APA,1841666
APC,2080921
APD,2969
APH,820313
APO,1858681
APP,1751008
APTV,1521332
AR,1433270
ARE,1035443
ARES,1176948
AS,1988894
ASC,1577437
ASH,1674862
ASND,1612042
ASO,1817358
ATI,1018963
ATO,731802
AVB,915912
AVGO,1730168
AVY,8818
AWK,1410636
AXON,1069183
AXP,4962
AYI,1144215
AZO,866787
BA,12927
BAC,70858
BALL,9389
BAX,10456
BBBY,1130713
BBT,1108134
BBWI,701985
BBY,764478
BC,14930
BCO,78890
BDX,10795
BEAM,1745999
BEN,38777
BF.B,14693
BG,1996862
BHF,1685040
BIIB,875045
BIO,12208
BK,1390777
BKNG,1075531
BKR,1701605
BLDR,1316835
BLK,2012383
BMY,14272
BNL,1424182
BNY,1390777
BR,1383312
BRK.B,1067983
BRO,79282
BSX,885725
BUD,1668717
BWA,908255
BX,1393818
BXP,1037540
C,831001
CAG,23217
CAH,721371
CAL,14707
CAR,723612
CARR,1783180
CASY,726958
CAT,18230
CB,896159
CBOE,1374310
CBRE,1138118
CCB,1437958
CCEP,1650107
CCI,1051470
CCK,1219601
CCL,815097
CCU,888746
CDNS,813672
CDW,1402057
CE,1306830
CEG,1868275
CELG,14272
CF,1324404
CFG,759944
CG,1527166
CHA,2013649
CHD,313927
CHRS,1512762
CHRW,1043277
CHTR,1091667
CI,1739940
CIEN,936395
CINF,20286
CL,21665
CLF,764065
CLX,21076
CMCSA,1166691
CME,1156375
CMG,1058090
CMI,26172
CMS,811156
CNC,1071739
CNP,1130310
CNX,1070412
COF,927628
COHR,820318
COIN,1679788
COO,711404
COP,1163165
COR,1140859
COST,909832
COTY,1024305
CPAY,1175454
CPB,16732
CPRI,1530721
CPRT,900075
CPT,906345
CPWR,827099
CR,1944013
CRH,849395
CRL,1100682
CRM,1108524
CRWD,1535527
CSCO,858877
CSGP,1057352
CSR,798359
CSX,277948
CTAS,723254
CTSH,1058290
CTVA,1755672
CVNA,1690820
CVS,64803
CVX,93410
CZR,1590895
D,715957
DAL,27904
DASH,1792789
DD,1666700
DDOG,1561550
DDS,28917
DE,315189
DEC,1922446
DECK,910521
DELL,1571996
DG,29534
DGX,1022079
DHI,882184
DHR,313616
DIS,1744489
DLR,1297996
DLTR,935703
DLX,27996
DOC,765880
DOV,29905
DOW,1751788
DPZ,1286681
DRI,940944
DTE,936340
DUK,1326160
DVA,927066
DVN,1090012
DXC,1688568
DXCM,1093557
DYN,1818794
EA,712515
EBAY,1065088
EC,1444406
ECL,31462
ECO,1964954
ED,1047862
EFX,33185
EG,1095073
EHC,785161
EIX,827052
EL,1001250
ELV,1156039
EME,105634
EMN,915389
EMR,32604
ENPH,1463101
ENS,1289308
EOG,821189
EP,887396
EPAM,1352010
EQ,1746466
EQIX,1101239
EQR,906107
EQT,33213
ERIE,922621
ES,72741
ESS,920522
ETN,1551182
ETR,65984
ETS,2053641
ETSY,1370637
EVRG,1711269
EW,1099800
EXC,1109357
EXE,895126
EXPD,746515
EXPE,1324424
EXR,1289490
F,37996
FANG,1539838
FAST,815556
FCN,887936
FCPT,1650132
FCX,831259
FDS,1013237
FDX,1048911
FDXF,2082247
FE,1031296
FFIV,1048695
FG,1934850
FHN,36966
FICO,814547
FIS,1136893
FISV,798354
FITB,35527
FIX,1035983
FLEX,866374
FLR,1124198
FLS,30625
FMC,37785
FMCC,1026214
FMY,1319183
FNMA,310522
FOSL,883569
FOX,1754301
FOXA,1754301
FRO,913290
FRT,34903
FSLR,1274494
FTI,1681459
FTNT,1262039
FTV,1659166
G,1398659
GD,40533
GDDY,1609711
GE,40545
GEHC,1932393
GEN,849399
GEV,1996810
GFS.A,1709048
GHC,104889
GILD,882095
GIS,40704
GL,320335
GLD,1222333
GLW,24741
GM,1467858
GME,1326380
GNRC,1474735
GNT,1438893
GNW,1276520
GOOG,1652044
GOOGL,1652044
GP,1584547
GPC,40987
GPN,1123360
GRMN,1121788
GRN,312070
GS,886982
GT,42582
GTE,1273441
GWW,277135
H,1468174
HAL,45012
HAS,46080
HBAN,49196
HCA,860730
HD,354950
HIG,874766
HII,1501585
HLT,1585689
HOG,793952
HON,773840
HONA,2089271
HOOD,1783879
HP,46765
HPE,1645590
HPQ,47217
HRB,12659
HRL,48465
HSIC,1000228
HST,1070750
HSY,47111
HUBB,48898
HUM,49071
HWM,4281
IAC,1800227
IBKR,1381197
IBM,51143
ICE,1571949
IDXX,874716
IEX,832101
IFF,51253
ILMN,1110803
INCY,879169
INGR,1046257
INTC,50863
INTU,896878
INVH,1687229
IP,51434
IPGP,1111928
IQV,1478242
IR,1699150
IRM,1020569
ISRG,1035267
IT,749251
ITT,216228
ITW,49826
IVZ,914208
J,52988
JBHT,728535
JBL,898293
JCI,833444
JEF,96223
JKHY,779152
JNJ,200406
JPM,19617
KBH,795266
KDP,1418135
KEY,91576
KEYS,1601046
KG,2055116
KHC,1637459
KIM,879101
KKR,1404912
KLAC,319201
KMB,55785
KMI,1506307
KMX,1170010
KO,21344
KR,56873
KSS,885639
KVUE,1944048
L,60086
LB,1995807
LDOS,1336920
LEG,58492
LEN,920760
LH,920148
LHX,202058
LIFE,1788451
LII,1069202
LIN,1707925
LITE,1633978
LKQ,1065696
LLY,59478
LMT,936468
LNC,59558
LNT,352541
LOW,60667
LPX,60519
LRCX,707549
LU,1816007
LULU,1397187
LUMN,18926
LUV,92380
LVS,1300514
LW,1679273
LYB,1489393
LYV,1335258
M,794367
MA,1141391
MAA,912595
MAC,912242
MAR,1048286
MAS,62996
MAT,63276
MBI,814585
MCD,63908
MCHP,827054
MCK,927653
MCO,1059556
MD,893949
MDLZ,1103982
MDT,1613103
MER,70858
MET,1099219
META,1326801
MGM,789570
MHK,851968
MI,1958713
MIR,1809987
MKC,63754
MKTX,1278021
MLM,916076
MMI,1578732
MMM,66740
MNR,1980088
MNST,865752
MO,764180
MOB,1898643
MOH,1179929
MOS,1285785
MPC,1510295
MPWR,1280452
MRK,310158
MRNA,1682852
MRSH,62709
MRVL,1835632
MS,895421
MSCI,1408198
MSFT,789019
MSI,68505
MTB,36270
MTCH,891103
MTD,1037646
MTG,876437
MTW,61986
MU,723125
MUR,717423
NAVI,1593538
NBR,1163739
NC,789933
NCLH,1513761
NDAQ,1120193
NDSN,72331
NE,1895262
NEE,753308
NEM,1164727
NFLX,1065280
NI,1111711
NKE,320187
NKTR,906709
NOC,1133421
NOV,1021860
NOW,1373715
NRG,1013871
NSC,702165
NTAP,1002047
NTRS,73124
NUE,73309
NVDA,1045810
NVR,906163
NWL,814453
NWS,1564708
NWSA,1564708
NXPI,1413447
NYT,71691
O,726728
ODFL,878927
OGN,1821825
OI,812074
OKE,1039684
OM,1484612
OMC,29989
ON,1097864
ORCL,1341439
ORLY,898173
OTIS,1781335
OXY,797468
PAC,1347557
PANW,1327567
PAYC,1590955
PAYX,723531
PBI,78814
PCAR,75362
PCG,1004980
PD,1568100
PEG,788784
PENN,921738
PEP,77476
PFE,78003
PFG,1126328
PG,80424
PGR,80661
PH,76334
PHM,822416
PKG,75677
PLD,1045609
PLTR,1321655
PM,1413329
PMI,2030617
PNC,713676
PNR,77360
PNW,764622
PODD,1145197
POM,1877971
POOL,945841
PPG,79879
PPL,922224
PRGO,1585364
PRU,1137774
PSA,1393311
PSKY,2041610
PSX,1534701
PTC,857005
PVH,78239
PWR,1050915
PYPL,1633917
Q,2058873
QCOM,804328
QRVO,1604778
R,85961
RAL,2041385
RCL,884887
REG,910606
REGN,872589
RF,1281761
RHI,315213
RIG,1451505
RJF,720005
RL,1037038
RMD,943819
ROK,1024478
ROL,84839
ROP,882835
ROST,745732
RRC,315852
RSG,1060391
RTX,101829
RVTY,31791
RYAN,1849253
S,1583708
SANM,897723
SATS,1415404
SB,1434754
SBAC,1034054
SBUX,829224
SCHW,316709
SCI,89089
SE,1703399
SEDG,1419612
SEG,2009684
SGP,1778922
SHW,89800
SIG,832988
SII,1512920
SJM,91419
SLB,87347
SLG,1040971
SLM,1032033
SMCI,1375365
SNA,91440
SNDK,2023554
SNPS,883241
SNT,1993727
SO,92122
SOLS,2064953
SOLV,1964738
SPG,1063761
SPGI,64040
SRE,1032208
SSP,832428
STE,1757898
STI,1881551
STLD,1022671
STT,93751
STX,1137789
STZ,16918
SUN,1552275
SW,2005951
SWK,93556
SWKS,4127
SYF,1601712
SYK,310764
SYY,96021
T,732717
TAP,24545
TDC,816761
TDG,1260221
TDY,1094285
TE,1992243
TECH,842023
TEL,1385157
TEN,1166663
TER,97210
TEX,97216
TFC,92230
TFX,96943
TGT,27419
THC,70318
TJX,109198
TKO,1973266
TKR,98362
TMC,1798562
TMC.A,1798562
TMO,97745
TMUS,1283699
TPL,1811074
TPR,1116132
TRGP,1389170
TRIP,1526520
TRMB,864749
TROW,1113169
TRV,86312
TSCO,916365
TSLA,1318605
TSN,100493
TT,1466258
TTD,1671933
TTWO,946581
TX,1342874
TXN,97476
TXT,217346
TYL,860731
UA,1336917
UAA,1336917
UAL,100517
UBER,1543151
UCL,1775898
UDR,74208
UHS,352915
UIS,746838
UK,1821424
ULTA,1403568
UNH,731766
UNM,5513
UNP,100885
UPC,1809616
UPS,1090727
URBN,912615
URI,1067701
USB,36104
USBC,1074828
V,1403161
VEEV,1393052
VFC,103379
VIAV,912093
VICI,1705696
VLO,1035002
VLTO,1967680
VMC,1396009
VNO,899689
VNT,1786842
VRSK,1442145
VRSN,1014473
VRT,1674101
VRTS,883237
VRTX,875320
VST,1692819
VTR,740260
VTRS,1792044
VZ,732712
WAB,943452
WAI,1938865
WAT,1000697
WB,1595761
WBD,1437107
WDAY,1327811
WDC,106040
WEC,783325
WELL,766704
WEN,30697
WFC,72971
WHR,106640
WM,823768
WMB,107263
WMT,104169
WOR,108516
WRB,11544
WSM,719955
WST,105770
WTW,1140536
WU,1365135
WY,106535
WYNN,1174922
XEL,72903
XOM,34088
XRAY,818479
XRX,1770450
XYL,1524472
XYZ,1512673
YUM,1041061
ZBH,1136869
ZBRA,877212
ZION,109380
ZTS,1555280
